source_channel,source_index,video_title,primary_pattern_grammar,secondary_pattern_grammars,url,duration_hms,fit_status,score,reason
Ali Abdaal,28,How to Start and Grow a YouTube Channel in 2026,Creator Business Playbook,,https://www.youtube.com/watch?v=UVardfy2qMk,31:33,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Creator Business Playbook.
Ali Abdaal,29,How to Find Your Life’s Purpose,Reflective Life Essay,,https://www.youtube.com/watch?v=euNliPIJ7Kc,53:31,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Reflective Life Essay.
Ali Abdaal,30,How I use AI as an Entrepreneur (My complete workflow),Skill Masterclass / Deep Tutorial,Personal Operating System / Productivity Framework; Wealth / Career Strategy Essay,https://www.youtube.com/watch?v=FDEVzFsPrkU,39:18,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Skill Masterclass / Deep Tutorial.
Ali Abdaal,31,"The Proven, Reliable Path to Earn $1M (Step By Step)",Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=rDrw3kkqKac,1:12:21,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,32,My Productive Every Day Carry 2026,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=b0zNoddNu8I,14:52,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,33,"If I was a student again, I’d do this",Study / Exam Success Playbook,,https://www.youtube.com/watch?v=v5Jz5PcVE-8,25:23,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Study / Exam Success Playbook.
Ali Abdaal,34,"Easy, Boring Business Ideas to Start in 2026 - Answering your Questions",Q&A / Community Relationship,Wealth / Career Strategy Essay,https://www.youtube.com/watch?v=2PzLA3yp3pY,30:21,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Q&A / Community Relationship.
Ali Abdaal,35,The Ultimate Guide to Building a Lifestyle Business,Skill Masterclass / Deep Tutorial,Wealth / Career Strategy Essay,https://www.youtube.com/watch?v=FSj7LX5GYgA,1:08:45,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Skill Masterclass / Deep Tutorial.
Ali Abdaal,36,How I Would Build A Business in 2026 (If I had to start over),Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=Jc7gURfsNqk,1:15:24,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,37,My Home Office Setup (2026),Personal Operating System / Productivity Framework,Tool Review / Gear Recommendation,https://www.youtube.com/watch?v=4eq7ienNumY,31:57,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Personal Operating System / Productivity Framework.
Ali Abdaal,38,How to Change Your Life,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=gO0bvT_smdM,28:56,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,39,My honest advice to someone who wants financial freedom,Wealth / Career Strategy Essay,Reflective Life Essay,https://www.youtube.com/watch?v=7nxUAyxNUKE,1:16:29,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,40,"Financial Freedom is Easy, After You Learn This",Wealth / Career Strategy Essay,Study / Exam Success Playbook,https://www.youtube.com/watch?v=zYKJdzyAviE,59:19,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,41,We Had a Baby! Life Update + Reflections,Life Update / Personal Milestone,,https://www.youtube.com/watch?v=LLdtdiJu7DE,1:02:08,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Life Update / Personal Milestone.
Ali Abdaal,42,My ONE Piece of Advice for Someone in Their 20s,Reflective Life Essay,,https://www.youtube.com/watch?v=WVaVUqtW0u4,23:08,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Reflective Life Essay.
Ali Abdaal,43,What 8 Years on YouTube Taught Me About Life,Creator Business Playbook,,https://www.youtube.com/watch?v=k7djQuPdlVo,34:23,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Creator Business Playbook.
Ali Abdaal,44,I’m Starting a New Series About Financial & Time Freedom,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=ivE8rjTFv_8,23:37,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,45,I didn't want to make this video...,Minimalist Curiosity Hook,,https://www.youtube.com/watch?v=xm2CgOKSE-U,33:54,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Minimalist Curiosity Hook.
Ali Abdaal,46,The Consumption Trap - How to Finally Lock In,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=MflKu9F4BsE,23:39,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,47,How I Made My First $1M at 26 - Every Step Explained,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=ZAWvRqQwvSM,34:25,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,48,How to Make Time for Everything (Then Actually Do It),Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=mAGVDDhujzc,25:54,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,49,He Built a $1M Business in 12 Months - Every Step Explained (Case Study),Wealth / Career Strategy Essay,Study / Exam Success Playbook,https://www.youtube.com/watch?v=f7IECetqDLY,2:40:14,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,50,How to Stop Overthinking (and Finally Achieve Your Goals),Evidence-Based Self-Improvement Essay,Reflective Life Essay,https://www.youtube.com/watch?v=csXdSeDbDgA,17:49,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,51,I Tried AI as a Life Coach for 365 Days - Here’s What I Learned,Study / Exam Success Playbook,Personal Challenge / Experiment,https://www.youtube.com/watch?v=QF2wIywvDhk,36:42,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Study / Exam Success Playbook.
Ali Abdaal,52,Getting Rich is a Game. Here’s How to Win.,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=-r2SH6EH5eY,43:12,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,53,How to Get Ahead of 99% of People (Discipline Isn't Enough),Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=lmCaQxk4b8c,1:09:34,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,54,17 Cheap Purchases That Actually Improved My Life,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=k_K9MbqNhA0,16:25,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,55,How To Get Rich,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=X_XNSeW9jok,28:07,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,56,Why Everyone Should Start a YouTube Channel,Creator Business Playbook,Reflective Life Essay,https://www.youtube.com/watch?v=MPECDuOUBEY,15:46,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Creator Business Playbook.
Ali Abdaal,57,Watch this if you feel like you’re behind in life,Minimalist Curiosity Hook,,https://www.youtube.com/watch?v=jP1uwBcpUeE,19:12,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Minimalist Curiosity Hook.
Ali Abdaal,58,Honest YouTube Advice for 45 Minutes Straight (2026),Creator Business Playbook,Reflective Life Essay,https://www.youtube.com/watch?v=w0zO6Jgjw6U,44:42,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Creator Business Playbook.
Ali Abdaal,59,How to Make More Money in your Job,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=1G2ltEiSYBw,25:08,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,60,Watch this if you never have enough time,Evidence-Based Self-Improvement Essay,Minimalist Curiosity Hook,https://www.youtube.com/watch?v=6T-mgthXWzM,14:34,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,61,What to do if you hate your job,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=W-gYpWSGBmc,21:27,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,62,How to Find Your Purpose (with Tiny Experiments),Reflective Life Essay,Interview / Conversation; Personal Challenge / Experiment,https://www.youtube.com/watch?v=vmH3seddlPE,22:27,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Reflective Life Essay.
Ali Abdaal,63,How to Actually Make Money Online in 2026 - Case Study,Wealth / Career Strategy Essay,Study / Exam Success Playbook,https://www.youtube.com/watch?v=qDFdALGJ4dA,42:49,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,64,How to finally start your first business in 2026,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=WpJOg7N54Qw,20:53,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,65,How I Manage My Time - The Triage System,Personal Operating System / Productivity Framework,,https://www.youtube.com/watch?v=VpN78TXMSUM,22:50,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Personal Operating System / Productivity Framework.
Ali Abdaal,66,How I use AI to save 10+ hours per week,Personal Operating System / Productivity Framework,,https://www.youtube.com/watch?v=Qc6pdR8BhFA,18:26,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Personal Operating System / Productivity Framework.
Ali Abdaal,67,How to Stop Procrastinating and Finally Take Action,Evidence-Based Self-Improvement Essay,Reflective Life Essay,https://www.youtube.com/watch?v=8urzOH10LEM,16:31,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,68,This Book Changed How I Think about Time,Book Lessons / Reading Canon,,https://www.youtube.com/watch?v=eJgcxYMhdoU,24:36,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Ali Abdaal,69,Why Everyone Needs a Personal Website,Reflective Life Essay,,https://www.youtube.com/watch?v=NWfIrmIgaCU,26:29,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Reflective Life Essay.
Ali Abdaal,70,The 5 Key Components for Financial Freedom,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=RlzV8EnEwc0,21:21,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,71,You're Not Behind: How to Change Your Life in 90 Days,Evidence-Based Self-Improvement Essay,Reflective Life Essay,https://www.youtube.com/watch?v=U7JNdMbj1zM,21:23,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,72,How to Actually Get in Shape in 2026 - My Evidence-Based Guide,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=qh75NllzOlU,19:09,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,73,My Honest Advice to Anyone Starting YouTube in 2026,Creator Business Playbook,Reflective Life Essay,https://www.youtube.com/watch?v=H-ykVthyNTc,29:45,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Creator Business Playbook.
Ali Abdaal,74,My honest advice to someone who wants passive income,Wealth / Career Strategy Essay,Reflective Life Essay,https://www.youtube.com/watch?v=GgSNvCY-AcY,42:32,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,75,19 Books to Transform Your 2026,Book Lessons / Reading Canon,,https://www.youtube.com/watch?v=3KLE_xwbGqg,22:13,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Ali Abdaal,76,How To Actually Achieve Your Goals in 2026 (Evidence-Based),Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=WONRS7BLh4g,14:46,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,77,How to Change Your Life with Deep Work (My System),Evidence-Based Self-Improvement Essay,Personal Operating System / Productivity Framework; Interview / Conversation,https://www.youtube.com/watch?v=sYaSJpIGzu8,26:42,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,78,6 Habits to Make 2026 Your Best Year Yet,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=W2afI0n8pUk,22:00,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,79,"5 Simple Steps to Earn $10,000 Writing Online",Creator Business Playbook,Wealth / Career Strategy Essay,https://www.youtube.com/watch?v=suOfjK35-8E,33:20,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Creator Business Playbook.
Ali Abdaal,80,How to Build a Business Part-Time,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=RH7REzcVjMI,36:17,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,81,13 Brutally Honest Lessons to Grow on YouTube in 2026,Creator Business Playbook,Reflective Life Essay,https://www.youtube.com/watch?v=TIqQmKapBaY,25:01,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Creator Business Playbook.
Ali Abdaal,82,How I Built a New $1m Business in 12 Months,Wealth / Career Strategy Essay,,https://www.youtube.com/watch?v=ae9qy-7lBmo,1:24:48,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Wealth / Career Strategy Essay.
Ali Abdaal,83,How I Built A YouTube Studio in a Tiny Room,Creator Business Playbook,,https://www.youtube.com/watch?v=8-WiFvM15-0,31:36,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Creator Business Playbook.
Ali Abdaal,84,I Got Married and Moved to Hong Kong! (Life Update),Life Update / Personal Milestone,,https://www.youtube.com/watch?v=bjCDZWE-VHo,43:14,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Life Update / Personal Milestone.
Ali Abdaal,85,Why You’re Overwhelmed - 5 Ways to Beat Stress,Evidence-Based Self-Improvement Essay,Reflective Life Essay,https://www.youtube.com/watch?v=C8RWt0o_2TE,14:59,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,86,5 Easy Habits That Could Transform Your Life,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=EuVKpMRl7ik,15:29,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,87,5 Habits for Happier Relationships - The Oxytocin Effect,Evidence-Based Self-Improvement Essay,Reflective Life Essay,https://www.youtube.com/watch?v=ZIelHDxW_Xc,15:30,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,88,How to Reset Your Dopamine (And Change Your Life),Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=l6BoSORXCUg,17:56,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,89,5 Things I Wish I'd Done Sooner On YouTube,Creator Business Playbook,Reflective Life Essay,https://www.youtube.com/watch?v=gOyZTD1UP60,31:30,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Creator Business Playbook.
Ali Abdaal,90,How to Not Waste Your Life (Stop Getting Distracted),Reflective Life Essay,,https://www.youtube.com/watch?v=58BHUsD24vs,16:50,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Reflective Life Essay.
Ali Abdaal,91,How to Stop Feeling Tired: 4 Easy Tips to Boost Your Energy,Reflective Life Essay,,https://www.youtube.com/watch?v=LP4CUye2yHM,16:26,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Reflective Life Essay.
Ali Abdaal,92,The Book that Made Me a Millionaire,Book Lessons / Reading Canon,Wealth / Career Strategy Essay,https://www.youtube.com/watch?v=aU-8BbPRqbo,21:50,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Ali Abdaal,93,How to Study for Exams with Flashcards (Anki Masterclass),Skill Masterclass / Deep Tutorial,Study / Exam Success Playbook; Interview / Conversation,https://www.youtube.com/watch?v=8zaKVFC9Eu4,3:08:13,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Skill Masterclass / Deep Tutorial.
Ali Abdaal,94,How to Start a YouTube Channel - Beginners Guide (2026),Creator Business Playbook,,https://www.youtube.com/watch?v=meMJdfytNI0,39:59,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Creator Business Playbook.
Ali Abdaal,95,How to Get in Better Shape than 99% of People,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=agK0hj2ZhuQ,19:37,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,96,How to stop feeling lonely (forever),Reflective Life Essay,,https://www.youtube.com/watch?v=U5kU-w9ii0Y,19:24,partial_heygen_fit,3,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Reflective Life Essay.
Ali Abdaal,97,Try these 3 habits to fix your posture,Evidence-Based Self-Improvement Essay,,https://www.youtube.com/watch?v=OQhqv_0d-nw,15:11,no_heygen_fit,3,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Evidence-Based Self-Improvement Essay.
Ali Abdaal,98,Reading Mean Online Comments About Me,Book Lessons / Reading Canon,,https://www.youtube.com/watch?v=U60rqe2KC1E,24:15,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
