pattern_grammar,role,source_channel,source_index,video_title,url,duration_hms,fit_status,score,reason
Book Lessons / Reading Canon,primary,Ali Abdaal,151,How I Read 100 Books a Year (My 10 Best Tips),https://www.youtube.com/watch?v=0iaU9VZXKUQ,13:31,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,167,These 8 Laws From This Book Changed My Life,https://www.youtube.com/watch?v=Y-d90cILIDk,18:33,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,172,I Read 107 Productivity Books. Here's What Actually Works.,https://www.youtube.com/watch?v=poc4ctbnDYA,18:32,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,193,This book made me quit my job,https://www.youtube.com/watch?v=xxPdTjk7beo,14:10,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,205,My Favourite MacBook Apps of All Time,https://www.youtube.com/watch?v=JWOR5Y-qmfg,17:59,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,217,15 Incredible Books to Read in 2026,https://www.youtube.com/watch?v=N24X8kK7H4Q,25:18:00,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,240,The Best Book I've Ever Read about Morality,https://www.youtube.com/watch?v=Zi5gD9Mh29A,12:11,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,246,28 Life Lessons from 28 Years in 28 Minutes,https://www.youtube.com/watch?v=AtfoKoiIW-s,27:39:00,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,253,"I Read 2,216 Resumes. Here’s How You Stand Out 🚀",https://www.youtube.com/watch?v=MqXjqOy-TA8,29:31:00,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,261,My 4-Step Framework for Learning With Audiobooks,https://www.youtube.com/watch?v=seXu3jYxs0Y,15:34,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,263,This Book Made Me a Happier Person,https://www.youtube.com/watch?v=Bf4Hs5E9eNg,19:03,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,265,The Biggest Lessons from 110 Books,https://www.youtube.com/watch?v=UlIDxrK43ko,31:32:00,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,277,15 Books To Read to Change Your Life,https://www.youtube.com/watch?v=lCrMAtbBUJA,23:18,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,281,The Book That Changed My Financial Life 🤑,https://www.youtube.com/watch?v=Gg8_TA7U0Uw,16:54,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,285,This Book Changed my Love Life,https://www.youtube.com/watch?v=kM0ZADKIXU8,20:21,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,288,The Best Book I've Ever Read about Making Money,https://www.youtube.com/watch?v=Gx2vyi4JcV0,19:00,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,289,How to ‘Read’ 1000 Books a Year,https://www.youtube.com/watch?v=XiGaXVJHwhc,9:42,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,304,The Greatest Enemy of Success - Ego is the Enemy,https://www.youtube.com/watch?v=9DH4pAg1qaQ,15:41,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,326,My Favourite Tech for Reading Books - Kindle vs iPad vs Books vs Audiobooks,https://www.youtube.com/watch?v=pL3lCNCffgg,14:37,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,336,9 Lessons From My Favourite YouTuber,https://www.youtube.com/watch?v=FiRp3GEebms,15:13,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,345,My Favourite Mac Apps - What's on my Macbook Pro,https://www.youtube.com/watch?v=xHFebdaObWo,18:55,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,350,The Book That MOST Changed My Life,https://www.youtube.com/watch?v=nk_Pfxmqn6g,18:01,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,366,15 Books To Read This Year,https://www.youtube.com/watch?v=w47z_wz6XBA,16:25,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,372,Tough Choice - M1 Macbook Air vs Macbook Pro,https://www.youtube.com/watch?v=BmznD0BNCzE,12:04,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,376,My New Daily Driver - M1 Macbook Pro (2020) Review,https://www.youtube.com/watch?v=zW__u6blbEQ,14:34,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,377,Perfection - M1 MacBook Air (2020) Review,https://www.youtube.com/watch?v=s5nrAKLZgMM,16:33,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,381,Think Like a Monk - @jayshetty - Summary + Key Points,https://www.youtube.com/watch?v=i6jjc9tfwt8,9:40,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,386,How I Remember Everything I Read,https://www.youtube.com/watch?v=AjoxkxM_I5g,15:53,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,391,How Stoicism Made Me Happier,https://www.youtube.com/watch?v=CuLOnlXlgVY,17:03,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,392,The Book That Changed My Relationship With Money,https://www.youtube.com/watch?v=TgOmBWdK84k,6:40,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,401,The Happiness Advantage (Shawn Achor) - Book Summary,https://www.youtube.com/watch?v=B58mAePXYbo,8:02,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,416,My Favourite Productivity Book of All Time,https://www.youtube.com/watch?v=8NBhJy_GopM,12:45,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,419,Is Reading Fiction Books Good for You?,https://www.youtube.com/watch?v=TLZr5GVeLcY,5:48,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,421,"Music, Reading and Note-Taking - Productive Day in the Life",https://www.youtube.com/watch?v=Zo5cf_CgR6M,8:01,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,431,"Tiny Changes, Remarkable Results - Atomic Habits by James Clear",https://www.youtube.com/watch?v=YT7tQzmGRLA,11:12,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,432,My Favourite Mac Apps | What's on my MacBook Pro?,https://www.youtube.com/watch?v=Kppgzbun71I,22:20,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,437,HEAD TO HEAD - iPad Pro vs MacBook Air (2020),https://www.youtube.com/watch?v=SGzk_FbJ-dQ,8:41,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,441,My New Favourite Laptop - MacBook Air 2020 Review,https://www.youtube.com/watch?v=sJeWfYLawaQ,12:25,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,445,Improve your Reading + My New Favourite Pen,https://www.youtube.com/watch?v=kX0sHQfjETY,17:16,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,468,Reading Mean Comments,https://www.youtube.com/watch?v=oWRw-Qu4h8g,15:46,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,477,How I Read 100 Books a Year - 8 Tips for Reading More,https://www.youtube.com/watch?v=8tKuviI68Ss,11:16,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,480,Do students need an iPad or a MacBook?,https://www.youtube.com/watch?v=STYohijxBNY,7:31,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,494,The World's Smartest Notebook - Rocketbook Everlast Review,https://www.youtube.com/watch?v=tTexU42KzsI,6:22,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,495,iPad vs Kindle for Reading Books,https://www.youtube.com/watch?v=S8JLJqLvhzo,3:20,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,500,My Favourite Fantasy Books,https://www.youtube.com/watch?v=i7awefFU_Hg,16:35,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,524,3 Books that Changed my Life,https://www.youtube.com/watch?v=hv1gOEY3cs4,14:40,no_heygen_fit,4,No product/tutorial/update/use-case signal from HeyGen grammar. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,543,iPad vs Macbook for Students - Can a tablet replace your laptop?,https://www.youtube.com/watch?v=xIx2OQ6E6Mc,9:32,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Book Lessons / Reading Canon,primary,Ali Abdaal,554,My Favourite Mac Apps - What's on my Macbook Pro,https://www.youtube.com/watch?v=ukSniYSWIvU,7:35,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the real viewer job. Proposed primary: Book Lessons / Reading Canon.
Build-In-Public Side Business,primary,Lillian Chiu,26,10 months later.. I launched my business analytics online course,https://www.youtube.com/watch?v=i504Jog-zRI,2:35,no_heygen_fit,4,No strong product/SaaS grammar signal from HeyGen library. Proposed primary: Build-In-Public Side Business.
Build-In-Public Side Business,primary,Lillian Chiu,86,I Built a $1.5M Business While Working Full-Time..,https://www.youtube.com/shorts/wmscKbnSUwM,,no_heygen_fit,4,No strong product/SaaS grammar signal from HeyGen library. Proposed primary: Build-In-Public Side Business.
Build-In-Public Side Business,secondary,Lillian Chiu,1,"how I got a Business Analyst job @Spotify, my new life building an app (+AI Tools)| Diary of a BA",https://www.youtube.com/watch?v=EVFwIrzCGMA,9:03,strong_heygen_fit,4,Strong hybrid/title-level fit to existing HeyGen grammar.
Build-In-Public Side Business,secondary,Lillian Chiu,2,"office politics in big tech, building my own app as a Biz Analyst (vibe coding)| Biz Analyst Diary",https://www.youtube.com/watch?v=WKmc6yAnvXI,9:36,strong_heygen_fit,5,Strong hybrid/title-level fit to existing HeyGen grammar.
Build-In-Public Side Business,secondary,Lillian Chiu,12,productive routine⏱️managing 9-5 tech job + YouTube⁉️ (ft.@Jeff Su @ Google),https://www.youtube.com/watch?v=4K3ldtAStmc,11:46,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the channel-specific viewer job. Proposed primary: Business Analyst / Tech Career Diary.
Build-In-Public Side Business,secondary,Lillian Chiu,14,"Living in NYC | my 2025 content strategy, .starting an MBA❓workcation in Mexico...",https://www.youtube.com/watch?v=5Dvum-IXb6k,9:34,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the channel-specific viewer job. Proposed primary: Relocation / Soft-Life Work Vlog.
Build-In-Public Side Business,secondary,Lillian Chiu,15,quitting...❓how I built multiple businesses with a 9-5 job,https://www.youtube.com/watch?v=eKKM_w3Vkmw,12:28,strong_heygen_fit,4,Strong hybrid/title-level fit to existing HeyGen grammar.
Build-In-Public Side Business,secondary,Lillian Chiu,16,"Living in Taipei | working remote from my home in Asia, launching my business (on PTO)",https://www.youtube.com/watch?v=xvv2ze1XIcs,12:23,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the channel-specific viewer job. Proposed primary: Relocation / Soft-Life Work Vlog.
Build-In-Public Side Business,secondary,Lillian Chiu,20,"Living in Vietnam| my daily life back home, enjoying life outside of work🌸, reuniting with family",https://www.youtube.com/watch?v=NTu9FPZoRAE,10:12,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the channel-specific viewer job. Proposed primary: Relocation / Soft-Life Work Vlog.
Build-In-Public Side Business,secondary,Lillian Chiu,28,"Living in New York | busy day in the office, starting a business? managing my time (job + youtube)",https://www.youtube.com/watch?v=epVYFUvoDhw,14:57,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the channel-specific viewer job. Proposed primary: Business Analyst / Tech Career Diary.
Build-In-Public Side Business,secondary,Lillian Chiu,31,"Living in Taipei | getting fit & muscular 🍑, building my content career, first photoshoot",https://www.youtube.com/watch?v=i8FnNvnQMus,12:37,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the channel-specific viewer job. Proposed primary: Relocation / Soft-Life Work Vlog.
Build-In-Public Side Business,secondary,Lillian Chiu,32,"1 Year on YouTube Q&A: youtube $$, 2023 goals, career advice, balancing 9-5 and youtube",https://www.youtube.com/watch?v=-IG_yf2eWJ4,23:27,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the channel-specific viewer job. Proposed primary: Business Analyst / Tech Career Diary.
Build-In-Public Side Business,secondary,Lillian Chiu,43,"[Out Of Office] career chat with Spotifier, first YouTube collab, staying at home",https://www.youtube.com/watch?v=uVVv_jZi9tA,9:43,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the channel-specific viewer job. Proposed primary: Business Analyst / Tech Career Diary.
Business Analyst / Tech Career Diary,primary,Lillian Chiu,1,"how I got a Business Analyst job @Spotify, my new life building an app (+AI Tools)| Diary of a BA",https://www.youtube.com/watch?v=EVFwIrzCGMA,9:03,strong_heygen_fit,4,Strong hybrid/title-level fit to existing HeyGen grammar.
Business Analyst / Tech Career Diary,primary,Lillian Chiu,3,"introvert working in big tech, typical Biz Analyst projects (+solving it)| Diary of a BA",https://www.youtube.com/watch?v=tsa0oWSajxA,12:06,strong_heygen_fit,4,Strong hybrid/title-level fit to existing HeyGen grammar.
Business Analyst / Tech Career Diary,primary,Lillian Chiu,11,"THE ULTIMATE Business Analyst Interview Questions (+Case Study, SQL Round, Behavioral)",https://www.youtube.com/watch?v=rhZ0w0vpX0w,11:48,strong_heygen_fit,4,Strong hybrid/title-level fit to existing HeyGen grammar.
Business Analyst / Tech Career Diary,primary,Lillian Chiu,12,productive routine⏱️managing 9-5 tech job + YouTube⁉️ (ft.@Jeff Su @ Google),https://www.youtube.com/watch?v=4K3ldtAStmc,11:46,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the channel-specific viewer job. Proposed primary: Business Analyst / Tech Career Diary.
Business Analyst / Tech Career Diary,primary,Lillian Chiu,13,"Working in Asia | dealing with burnout, re-defining my work and life plans (with 9-5 job)",https://www.youtube.com/watch?v=a1R5eZ2v82Y,10:31,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the channel-specific viewer job. Proposed primary: Business Analyst / Tech Career Diary.
Business Analyst / Tech Career Diary,primary,Lillian Chiu,15,quitting...❓how I built multiple businesses with a 9-5 job,https://www.youtube.com/watch?v=eKKM_w3Vkmw,12:28,strong_heygen_fit,4,Strong hybrid/title-level fit to existing HeyGen grammar.
Business Analyst / Tech Career Diary,primary,Lillian Chiu,18,想在職場脫穎而出？5步驟教你解鎖潛能！(ft. Spotify 產品經理）,https://www.youtube.com/watch?v=SzDTbQah3o8,2:31,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the channel-specific viewer job. Proposed primary: Business Analyst / Tech Career Diary.
Business Analyst / Tech Career Diary,primary,Lillian Chiu,28,"Living in New York | busy day in the office, starting a business? managing my time (job + youtube)",https://www.youtube.com/watch?v=epVYFUvoDhw,14:57,partial_heygen_fit,4,HeyGen grammar captures a surface signal but misses the channel-specific viewer job. Proposed primary: Business Analyst / Tech Career Diary.
Business Analyst / Tech Career Diary,primary,Lillian Chiu,29,day in the life of a Business Analyst in tech | How I solve a Case Study Interview (logic & data),https://www.youtube.com/watch?v=QTq7p4G5PaQ,18:38,strong_heygen_fit,4,Strong hybrid/title-level fit to existing HeyGen grammar.
